,Unnamed: 0,scaled_input_date,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,running_time,Found,ground_truth,prediction,scaled_cf_date,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
0,0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,3.189692974090576,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
1,0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,3.111881971359253,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
2,0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,3.1241250038146973,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
3,0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,3.09784197807312,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
4,0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,3.10497784614563,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
5,0,0.013053,1.0,0.0500689074025645,0.534216,0.003467,0.422915,0.4325555065569514,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,6.646867036819458,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.543724586040484,1.9342922650419703,6.0,True,121.16200486575737,0.3986566167713994
6,0,0.013053,1.0,0.0500689074025645,0.534216,0.003467,0.422915,0.4325555065569514,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,6.6424241065979,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.543724586040484,1.9342922650419703,6.0,True,121.16200486575737,0.3986566167713994
7,0,0.013053,1.0,0.0500689074025645,0.534216,0.003467,0.422915,0.4325555065569514,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,6.6859869956970215,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.543724586040484,1.9342922650419703,6.0,True,121.16200486575737,0.3986566167713994
8,0,0.013053,1.0,0.0500689074025645,0.534216,0.003467,0.422915,0.4325555065569514,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,6.650451183319092,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.543724586040484,1.9342922650419703,6.0,True,121.16200486575737,0.3986566167713994
9,0,0.013053,1.0,0.0500689074025645,0.534216,0.003467,0.422915,0.4325555065569514,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,6.735594987869263,Y,Y,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.543724586040484,1.9342922650419703,6.0,True,121.16200486575737,0.3986566167713994
10,0,0.014247,0.680851,0.0421238008659086,0.494942,0.003467,0.422915,0.4325555065569514,N,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,N,6.693969011306763,Y,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.908898692577139,1.9733914532840187,7.0,True,121.43175659609287,0.4200171498200562
11,0,0.014247,0.680851,0.0421238008659086,0.494942,0.003467,0.422915,0.4325555065569514,N,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,N,6.720916986465454,Y,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.908898692577139,1.9733914532840187,7.0,True,121.43175659609287,0.4200171498200562
12,0,0.014247,0.680851,0.0421238008659086,0.494942,0.003467,0.422915,0.4325555065569514,N,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,N,6.67330002784729,Y,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.908898692577139,1.9733914532840187,7.0,True,121.43175659609287,0.4200171498200562
13,0,0.014247,0.680851,0.0421238008659086,0.494942,0.003467,0.422915,0.4325555065569514,N,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,N,6.697553873062134,Y,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,Y,4.908898692577139,1.9733914532840187,7.0,True,121.43175659609287,0.4200171498200562
