Unnamed: 0,scaled_input_f5,scaled_input_f6,scaled_input_f7,scaled_input_f8,scaled_input_f9,scaled_input_f13,scaled_input_f14,scaled_input_f15,scaled_input_f16,scaled_input_f17,scaled_input_f18,scaled_input_f19,scaled_input_f20,scaled_input_f21,scaled_input_f22,scaled_input_f23,scaled_input_f24,scaled_input_f25,scaled_input_f26,scaled_input_f27,scaled_input_f28,scaled_input_f29,scaled_input_f30,scaled_input_f31,scaled_input_f32,scaled_input_f33,scaled_input_target,origin_input_f5,origin_input_f6,origin_input_f7,origin_input_f8,origin_input_f9,origin_input_f13,origin_input_f14,origin_input_f15,origin_input_f16,origin_input_f17,origin_input_f18,origin_input_f19,origin_input_f20,origin_input_f21,origin_input_f22,origin_input_f23,origin_input_f24,origin_input_f25,origin_input_f26,origin_input_f27,origin_input_f28,origin_input_f29,origin_input_f30,origin_input_f31,origin_input_f32,origin_input_f33,origin_input_target,scaled_cf_f5,scaled_cf_f6,scaled_cf_f7,scaled_cf_f8,scaled_cf_f9,scaled_cf_f13,scaled_cf_f14,scaled_cf_f15,scaled_cf_f16,scaled_cf_f17,scaled_cf_f18,scaled_cf_f19,scaled_cf_f20,scaled_cf_f21,scaled_cf_f22,scaled_cf_f23,scaled_cf_f24,scaled_cf_f25,scaled_cf_f26,scaled_cf_f27,scaled_cf_f28,scaled_cf_f29,scaled_cf_f30,scaled_cf_f31,scaled_cf_f32,scaled_cf_f33,scaled_cf_target,origin_cf_f5,origin_cf_f6,origin_cf_f7,origin_cf_f8,origin_cf_f9,origin_cf_f13,origin_cf_f14,origin_cf_f15,origin_cf_f16,origin_cf_f17,origin_cf_f18,origin_cf_f19,origin_cf_f20,origin_cf_f21,origin_cf_f22,origin_cf_f23,origin_cf_f24,origin_cf_f25,origin_cf_f26,origin_cf_f27,origin_cf_f28,origin_cf_f29,origin_cf_f30,origin_cf_f31,origin_cf_f32,origin_cf_f33,origin_cf_target,running_time,Found,ground_truth,prediction,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
0,0.406417112,0,0,0.015503876,0.08974359,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,1,89,77,76,73,101,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.406417112,0,0,0.7,0.08974359,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,N,89,77,76,161.3,101,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,0.051923752,Y,1,Y,0.684496124,0.684496124,1,TRUE,0.618449039,0.061540463
0,0.406417112,0,0,0.015503876,0.08974359,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,1,89,77,76,73,101,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.881361,0,0,0.015503876,0.7,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,N,177.814507,77,76,73,148.6,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,0.021303892,Y,1,Y,1.085200298,0.773294629,2,TRUE,0.834355652,0.092196579
0,0.406417112,0,0,0.015503876,0.08974359,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,1,89,77,76,73,101,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.406417112,0,0.4,0.015503876,0.08974359,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,N,89,77,125.6,73,101,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,0.019057035,Y,1,Y,0.4,0.4,1,TRUE,0.204214441,0.048406716
0,0.406417112,0,0,0.015503876,0.08974359,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,1,89,77,76,73,101,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.406417112,0,0,0.015503876,0.5,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.102564103,0,N,89,77,76,73,133,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,74,0,0,0,4,0,N,0.020147085,Y,1,Y,1.41025641,1.080884047,2,TRUE,2.457731783,0.076029635
0,0.406417112,0,0,0.015503876,0.08974359,0,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,1,89,77,76,73,101,0,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.406417112,0,0,0.015503876,0.08974359,0.9,0,0,0.070866142,0.566929134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,N,89,77,76,73,101,101.7,0,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,0.018822908,Y,1,Y,0.9,0.9,1,TRUE,0.454047966,0.10871861
0,0.534759358,0.048780488,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,83,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2878117,0.048780488,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,66.8207879,83,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0.018919945,Y,0,N,0.246947658,0.246947658,1,TRUE,0.075110305,0.041809801
0,0.534759358,0.048780488,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,83,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2925173,0,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,67.7007351,77,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0.017845869,Y,0,N,0.291022546,0.247104736,2,TRUE,0.088640774,0.039552103
0,0.534759358,0.048780488,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,83,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1715469,0.048780488,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,45.0792703,83,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0.019101858,Y,0,N,0.363212458,0.363212458,1,TRUE,0.110472797,0.061494167
0,0.534759358,0.048780488,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,83,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1274876,0.048780488,0.2,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0.7,0,0,0,0.7,0,0,0,0.6,0,0.1,Y,36.8401812,83,100.8,71,94,0,32,14,2,39,25,0,0,0,0,72.8,0,0,0,46.2,0,0,0,25.2,0,3.9,Y,0.02208519,Y,0,N,2.707271758,1.247345295,6,TRUE,3.889719686,0.137553865
0,0.534759358,0.048780488,0,0,0,0,0.25,0.093333333,0.015748031,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,83,76,71,94,0,32,14,2,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473996,0.048780488,0,0,0,0,0.25,0.093333333,0.9,0.307086614,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,21.8637252,83,76,71,94,0,32,14,114.3,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0.01655674,Y,0,N,1.371611727,1.009663844,2,TRUE,0.437868752,0.123583961
