,Unnamed: 0,scaled_input_V1,scaled_input_V6,scaled_input_V10,scaled_input_V12,scaled_input_V13,scaled_input_V14,scaled_input_V15,scaled_input_target,origin_input_V1,origin_input_V6,origin_input_V10,origin_input_V12,origin_input_V13,origin_input_V14,origin_input_V15,origin_input_target,scaled_cf_V1,scaled_cf_V6,scaled_cf_V10,scaled_cf_V12,scaled_cf_V13,scaled_cf_V14,scaled_cf_V15,scaled_cf_target,origin_cf_V1,origin_cf_V6,origin_cf_V10,origin_cf_V12,origin_cf_V13,origin_cf_V14,origin_cf_V15,origin_cf_target,running_time,Found,ground_truth,prediction,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
0,0,0.2933333333333333,0.0407562429057888,0.5,0.0660134089736977,0.0,0.0,0.0,Y,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N,74.91521263122559,Y,N,Y,0.9001029852128197,0.5848617665265603,4.0,True,1.0563779523352073,0.14778576713278951
1,0,0.2933333333333333,0.0407562429057888,0.5,0.0660134089736977,0.0,0.0,0.0,Y,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N,74.94690799713135,Y,N,Y,0.9001029852128197,0.5848617665265603,4.0,True,1.0563779523352073,0.14778576713278951
2,0,0.2933333333333333,0.0407562429057888,0.5,0.0660134089736977,0.0,0.0,0.0,Y,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N,74.91244077682495,Y,N,Y,0.9001029852128197,0.5848617665265603,4.0,True,1.0563779523352073,0.14778576713278951
3,0,0.2933333333333333,0.0407562429057888,0.5,0.0660134089736977,0.0,0.0,0.0,Y,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N,74.98493695259094,Y,N,Y,0.9001029852128197,0.5848617665265603,4.0,True,1.0563779523352073,0.14778576713278951
4,0,0.2933333333333333,0.0407562429057888,0.5,0.0660134089736977,0.0,0.0,0.0,Y,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N,74.90542697906494,Y,N,Y,0.9001029852128197,0.5848617665265603,4.0,True,1.0563779523352073,0.14778576713278951
5,0,0.1466666666666667,0.0399285849413545,0.0666666666666666,0.0820010314595152,0.0,0.0,0.0,N,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,N,,,,,,,,,,,,,,,,,74.8206799030304,N,Y,N,,,,,,
6,0,0.1466666666666667,0.0399285849413545,0.0666666666666666,0.0820010314595152,0.0,0.0,0.0,N,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,N,,,,,,,,,,,,,,,,,74.79715704917908,N,Y,N,,,,,,
7,0,0.1466666666666667,0.0399285849413545,0.0666666666666666,0.0820010314595152,0.0,0.0,0.0,N,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,N,,,,,,,,,,,,,,,,,75.0977840423584,N,Y,N,,,,,,
8,0,0.1466666666666667,0.0399285849413545,0.0666666666666666,0.0820010314595152,0.0,0.0,0.0,N,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,N,,,,,,,,,,,,,,,,,75.11351084709167,N,Y,N,,,,,,
9,0,0.1466666666666667,0.0399285849413545,0.0666666666666666,0.0820010314595152,0.0,0.0,0.0,N,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,N,,,,,,,,,,,,,,,,,75.14732503890991,N,Y,N,,,,,,
