,Unnamed: 0,scaled_input_RevolvingUtilizationOfUnsecuredLines,scaled_input_age,scaled_input_NumberOfTime30-59DaysPastDueNotWorse,scaled_input_DebtRatio,scaled_input_MonthlyIncome,scaled_input_NumberOfOpenCreditLinesAndLoans,scaled_input_NumberOfTimes90DaysLate,scaled_input_NumberRealEstateLoansOrLines,scaled_input_NumberOfTime60-89DaysPastDueNotWorse,scaled_input_NumberOfDependents,scaled_input_target,origin_input_RevolvingUtilizationOfUnsecuredLines,origin_input_age,origin_input_NumberOfTime30-59DaysPastDueNotWorse,origin_input_DebtRatio,origin_input_MonthlyIncome,origin_input_NumberOfOpenCreditLinesAndLoans,origin_input_NumberOfTimes90DaysLate,origin_input_NumberRealEstateLoansOrLines,origin_input_NumberOfTime60-89DaysPastDueNotWorse,origin_input_NumberOfDependents,origin_input_target,scaled_cf_RevolvingUtilizationOfUnsecuredLines,scaled_cf_age,scaled_cf_NumberOfTime30-59DaysPastDueNotWorse,scaled_cf_DebtRatio,scaled_cf_MonthlyIncome,scaled_cf_NumberOfOpenCreditLinesAndLoans,scaled_cf_NumberOfTimes90DaysLate,scaled_cf_NumberRealEstateLoansOrLines,scaled_cf_NumberOfTime60-89DaysPastDueNotWorse,scaled_cf_NumberOfDependents,scaled_cf_target,origin_cf_RevolvingUtilizationOfUnsecuredLines,origin_cf_age,origin_cf_NumberOfTime30-59DaysPastDueNotWorse,origin_cf_DebtRatio,origin_cf_MonthlyIncome,origin_cf_NumberOfOpenCreditLinesAndLoans,origin_cf_NumberOfTimes90DaysLate,origin_cf_NumberRealEstateLoansOrLines,origin_cf_NumberOfTime60-89DaysPastDueNotWorse,origin_cf_NumberOfDependents,origin_cf_target,running_time,Found,ground_truth,prediction,L1,L2,Sparsity,Realistic,MAD,Mahalanobis
0,0,3.686524572727273e-05,0.2051282051282051,0.0,1.464719190668318e-05,0.03796,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,22000.0,99.0,98.0,25033.0,250000.0,52.0,98.0,29.0,98.0,8.0,Y,6.747200965881348,Y,Y,N,9.264817842115859,2.9445485378601877,10.0,True,308.7723729823669,0.2964806270806546
1,0,3.686524572727273e-05,0.2051282051282051,0.0,1.464719190668318e-05,0.03796,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,22000.0,99.0,98.0,25033.0,250000.0,52.0,98.0,29.0,98.0,8.0,Y,6.668330907821655,Y,Y,N,9.264817842115859,2.9445485378601877,10.0,True,308.7723729823669,0.2964806270806546
2,0,3.686524572727273e-05,0.2051282051282051,0.0,1.464719190668318e-05,0.03796,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,22000.0,99.0,98.0,25033.0,250000.0,52.0,98.0,29.0,98.0,8.0,Y,6.708946228027344,Y,Y,N,9.264817842115859,2.9445485378601877,10.0,True,308.7723729823669,0.2964806270806546
3,0,3.686524572727273e-05,0.2051282051282051,0.0,1.464719190668318e-05,0.03796,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,22000.0,99.0,98.0,25033.0,250000.0,52.0,98.0,29.0,98.0,8.0,Y,6.722908020019531,Y,Y,N,9.264817842115859,2.9445485378601877,10.0,True,308.7723729823669,0.2964806270806546
4,0,3.686524572727273e-05,0.2051282051282051,0.0,1.464719190668318e-05,0.03796,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Y,22000.0,99.0,98.0,25033.0,250000.0,52.0,98.0,29.0,98.0,8.0,Y,6.728826999664307,Y,Y,N,9.264817842115859,2.9445485378601877,10.0,True,308.7723729823669,0.2964806270806546
5,0,4.231160527272727e-05,0.2307692307692307,0.010204081632653,3.564832792713618e-05,0.0136,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,,,,,,,,,,,,,,,,,,,,,,,3.156091928482056,N,Y,Y,,,,,,
6,0,4.231160527272727e-05,0.2307692307692307,0.010204081632653,3.564832792713618e-05,0.0136,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,,,,,,,,,,,,,,,,,,,,,,,3.1505327224731445,N,Y,Y,,,,,,
7,0,4.231160527272727e-05,0.2307692307692307,0.010204081632653,3.564832792713618e-05,0.0136,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,,,,,,,,,,,,,,,,,,,,,,,3.1566410064697266,N,Y,Y,,,,,,
8,0,4.231160527272727e-05,0.2307692307692307,0.010204081632653,3.564832792713618e-05,0.0136,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,,,,,,,,,,,,,,,,,,,,,,,3.1593687534332275,N,Y,Y,,,,,,
9,0,4.231160527272727e-05,0.2307692307692307,0.010204081632653,3.564832792713618e-05,0.0136,0.173076923076923,0.0,0.0689655172413793,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,,,,,,,,,,,,,,,,,,,,,,,3.211474895477295,N,Y,Y,,,,,,
